Cleaned_Dialogue,Positive/Negative,Song Recommendations
yeah well maybe heard rent stabilization actof 1968,Negative,Bleed
yeah well friends violation i’ve anice guy uh don’t need grief i’m gonna call thelandlord tell monica illegally subletting grandmother’sapartment friends outta pal,Negative,American Idiot
oh please somebody tell don’t go work today,Negative,Far Too Young to Die
oh forbidden nono mrs potter fires people foolingaround clients it’s oath masseuse,Negative,Paranoid - 2012 - Remaster
don’t give somebody else,Negative,Toxicity
oh pheebs new ankle bracelet,Negative,Cake By The Ocean
joey go suck mean suck likeyou’ve never sucked,Negative,Rock You Like A Hurricane
right i’ll try can’t stay chandlerand get settled,Negative,Titanium (feat. Sia)
whoawhoawhoa hey remember talked gotta bestrong,Negative,You Just Haven't Thought of It Yet
want flabby gut saggy man breasts,Negative,B.Y.O.B.
realize won’t access new fullservice swedish spa,Negative,Ain't No Rest for the Wicked
i’m gonna save little speech,Negative,Duality
would mind spending time siadic area it’s beenkilling today,Negative,Killing In The Name
mean the—okay siadic mean towel covered portion,Negative,Toxicity
please don’t kick monica rachel wasn’t therefault mine,Negative,Don't Let The Light Go Out
want kick guys instead,Negative,Symphony Of Destruction - Remastered 2012
can’t would chick duck live,Negative,Wake Me up When September Ends
noonono nicknames i’m chick chandler theduck,Negative,Dance Off (feat. Idris Elba & Anderson .Paak)
huh would’ve thought way around,Negative,Chop Suey!
yeah there’s superintendent’s dance super ball idon’t know wants impress marge lady super he’s crush,Negative,Bonfire
well doesn’t practice girl,Negative,Bleed
well he’s shy doesn’t thing he’s good enough todance girls yet,Negative,Ain't No Rest for the Wicked
oh umm y’know working umm… ohthat’s,Negative,Bleed
we’re doomed okay they’re gonna take 50 bucks ouraccounts rest lives gonna,Negative,Cirice
could go bank close accounts cut atthe source,Negative,Paranoid - 2012 - Remaster
aww man won’t bank buddies,Negative,Demons
know ii’m sorry moment touch wannathrow old oath take new dirty one,Negative,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off
well next time massaging try distractyourself,Negative,Bleed
whoawhoa don’t need kinda preparation first likeahh get really drunk,Negative,Trndsttr
ahh forget i’ll never good mom wasright i’m big potato arms legs head,Negative,Middle Of A Breakup
come man you’re potato,Negative,Not Afraid
i’m sure hell dancer it’s use marge nevergo,Negative,Treat You Better
heyhey goes dancing gay yet,Negative,Snow (Hey Oh)
i’m wasn’t hop pademarie,Negative,Toxicity
heyhey hold isn’t kind like girly dance allright it’s like sport it’s manly,Negative,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off
close accounts kind problem,Negative,Bleed
wow idea know could always find another masseuse,Negative,Immigrant Song - Remaster
wasn’t offered i’d definitely pay forthat,Negative,Bad Liar
phoebe rules isn’t kind place,Negative,Free Bird - Edit
oh yeah oh know isn’t looks like‘cause rick ahh husband,Negative,Chop Suey!
oh really well you’d better tell wife‘cause called three times asking,Negative,I Don’t Wanna Live Forever (Fifty Shades Darker)
somehow ended joint checking account,Negative,New Rules
hey great day rick really hit startedmaking boss walked fired whore,Negative,Gold
justi started walking around knowing nexty’know ii started asking people street wanted massages thesepolicemen thought whore it’s really bad day whore wise,Negative,Middle Of A Breakup
yeah y’know think reason we’re gettingthat spin right apartment’s small,Negative,Painkiller
look wanna use place,Negative,Free Bird - Edit
unless wanna practice foxtrot oror tango,Negative,Play with Fire (feat. Yacht Money)
i’m sorry i’m late miss anything,Negative,Don't Panic
oh date yeah met girl train going museumupstate,Negative,Someone In The Crowd
okay back train sat near thedoor she’d pass wanted switch cars totally mymercy,Negative,Smooth Criminal - 2012 Remaster
umm paper’s two weeks old,Negative,Toxicity
right keeps leaving old newspapers trash reallywanted take kathy can’t believe missed,Negative,In Waves
hey y’know least somebody miss stuff,Negative,Yellow
really didn’t think girls ever wanted fling,Negative,Sugar
well believe it’s long time since i’ve flung,Negative,Clocks
yeah wait minute it’s long time i’ve beensingle come never offered,Negative,Animals
well girlfriend i’mi’m happy longerfeel need go way stop others happy,Negative,Often
okay accountants oh one like legal don’t likeguys boring jobs,Negative,B.Y.O.B.
ohh everybody restaurant still hates,Negative,Middle Of A Breakup
hey maybe meant write ‘quiet bitch’,Negative,Duality
mean they’re trying everything make quitand job would something i’ve waiting formy whole life,Negative,I Dunno (feat. Dutchavelli & Stormzy)
well wait minute you’re boss don’t yellat fire,Negative,Chop Suey!
would love can’t mean can’t knowthat i’m good confrontation,Negative,Monster
hey know remember reading directori think orson wells beginning movie would hire somebody sohe could fire front everybody would know who’s boss,Negative,Hall of Fame (feat. will.i.am)
hey mon i’m anything don’t fire,Negative,New Rules
good enough get fired,Negative,It's My Life
hey must got fired last week orson wells guydirect,Negative,Chop Suey!
ahh got big relationship i’m looking anything serious,Negative,Calm Down
oh y’know might okay even kind afling might right rachel,Negative,Alors on danse - Radio Edit
whoawhoawhoawhoa hot rachel took christmasparty rachel,Negative,Immigrant Song - Remaster
oh wait second didn’t say wasn’t free,Negative,New Rules
hey chandler don’t talk ranger gametomorrow,Negative,LA Devotee
maybe game could enjoy eight year old small batchbasel hadens,Negative,Thunder
well don’t really know,Negative,Bad Liar
y’know umm rachel doesn’t rhyme draddle,Negative,Ain't No Rest for the Wicked
know it’s hard nothing rhymes stupid name,Negative,Hurricane
talking lots things rhyme rachel bagel mailjail bail able maypole,Negative,Bleed
didn’t dad used call pumpkin,Negative,Country Roads - Original Version
y’know i’m gonna uh play field littlemore,Negative,Trndsttr
op like credit cards,Negative,Can't Feel My Face
see i’m bad fixing thing huh,Negative,ZT (3x3)
it’s big company don’t—if you—i…,Negative,Bleed
wait second make food,Negative,Astronaut In The Ocean
yeah lady got problem,Negative,Sugar
want problem i’ll give problem,Negative,Symphony Of Destruction - Remastered 2012
well ii want give another chance y’know lives soclose end date time sheshe said something thatwas—if kidding funny hand wasn’t kiddingshe’s fun she’s stupid kind racist,Negative,Bad Liar
baked can’t take anymore i’m gonna call ameeting tonight i’m gonna fire tonight,Negative,Symphony Of Destruction - Remastered 2012
really ii thought weren’t looking something serious ithought looking kind fling,Negative,Bleed
told guy looking fling don’t tellthe guy,Negative,Duality
oh telling wanted fling puttingout first date—oh he’s gonna get wrong idea,Negative,I Dunno (feat. Dutchavelli & Stormzy)
hey joey could pass cheese,Negative,Free Bird - Edit
yeah listen uh i’d prefer didn’t call joey sincei don’t know anyone thought it’d cool try cool worknickname,Negative,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off
okay could waiters gather around hear tonight’s specialsokay first chilean sea bass prepared mango relish bag—why isnobody writing,Negative,New Rules
gonna make fake specials make cook likeyou night,Negative,Symphony Of Destruction - Remastered 2012
joey deal thatthat’s you’re i’vegot fire,Negative,B.Y.O.B.
gotta pay rent look howhow don’t fire meinstead stay gain trust they’ll start listening nicethings i’ve saying,Negative,It's My Life
well nothing yet really hate want fit,Negative,Demons
one cat gotta go i’ve got another date,Negative,The Ballad of Mona Lisa
turns one uptown making joke adifferent joke thought—it wasn’t funny i’m still torn,Negative,Toxicity
well look don’t really like one uptown andyou’re exhausted dating one poughkeepsie say endthem okay take train poughkeepsie break yourway back break uptown time get home tonight you’redone,Negative,Bad Liar
umm well similar problem lived prague,Negative,Baby Blue - Remastered 2010
there’s sooo much don’t know,Negative,Royals
chandler patrick uh ended things nottell looking serious relationship,Negative,Middle Of A Breakup
oh man i’m sorry i’m soso sorry,Negative,Somebody That I Used To Know
well don’t know tell ya,Negative,Bleed
bet ah wasn’t listening that’s,Negative,New Rules
well want problem i’ll give problem,Negative,American Idiot
last stop montreal stop montreal,Negative,Hall of Fame (feat. will.i.am)
we’re stop would like coffee,Negative,Thunder
oh it’s two hour ferry ride nova scotia,Negative,No Time for Caution
well guess should’ve thought wife kids italked back chef geller,Negative,Symphony Of Destruction - Remastered 2012
heyheyhey happened forest tick,Negative,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off
yknow we’re always saying need place mail,Negative,Wait and Bleed
well started building one decided take nextstep,Negative,Temperature
oh yeah old work pants sergio valente’s,Negative,Baby Blue - Remastered 2010
power saw kinda got away,Negative,I Write Sins Not Tragedies
yeah think sounds yknow big sistery yknow‘frank’s always late’,Negative,Toxicity
know i’m nervous yknow it’s yknowmom’s dead don’t talk sister grandma’s sleeping lot latelyit’s like last desperate chance family yknow kinda thingyou’re sweet wait,Negative,Alone
ah kim basinger cindy crawford halle berry yasmine bleeth ahjessica rabbit,Negative,Bonfire
realize she’s cartoon way yourleague,Negative,Rolling in the Deep
know know always wondered could get eyes popout head,Negative,Toxicity
first need boyfriend list,Negative,It's Time
oh don’t know guess chris o’donnel john f kennedyjr daniel day lewis sting parker stevenson,Negative,Someone In The Crowd
hey guys get anything done,Negative,Attention
yeah thinking maybe could go time square pickup ninja stars oh um friend larry wants take picture ahooker,Negative,Bleed
know don’t really take advantage living city,Negative,Pt. II
oh i’m sorry get ‘ya,Negative,We Are Young (feat. Janelle Monáe)
didn’t get it’s electric drill,Negative,Astronaut In The Ocean
well should’ve told i’m mind readerhey we’re beer i’m going monica’s,Negative,I Write Sins Not Tragedies
oh monica listen ah saw hardware store got thosedesigner tiles sale ever want redo bathroom floor,Negative,Enemy (with JID) - from the series Arcane League of Legends
what’s wrong bathroom floor,Negative,Toxicity
nothing it’s old dingy that’s,Negative,I Write Sins Not Tragedies
can’t live like gonna gonna,Negative,Sign of the Times
can’t leave gouged hole dingy floor,Negative,Symphony Of Destruction - Remastered 2012
know that’s nice yknow could put back thesurgeons remove colon,Negative,Unsainted
